gid,role_before,role_after,reason,rank_before,rank_after,fast_before,fast_after,coverage
100000002731501100,peripheral,transit,Строгое окно FIFO 1–2 дня и учёт полного покрытия окна,267,69,0.35065,0.7714298679493579,0.3863632378982064
100000001732159100,transit,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,54,99,0.399544,0.1749951642067196,1.0
100000008659445100,transit,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,113,199,0.746624,0.699689508267745,1.0
100000004041163100,transit,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,101,242,0.96,0.0,1.0
100000008571433100,transit,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,122,246,1.0,1.0,1.0
100000008418835100,transit,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,167,259,0.11602,0.0682390670553935,1.0
100000000580561100,transit,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,141,282,0.846319,0.8463187991422445,1.0
100000002849158100,transit,peripheral,Строгое окно FIFO 1–2 дня и учёт полного покрытия окна,102,295,1.0,,0.0
100000003718221100,transit,peripheral,Строгое окно FIFO 1–2 дня и учёт полного покрытия окна,93,315,0.771429,0.2571428571428571,1.0
100000008314203100,transit,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,179,324,0.363802,0.3376291627843675,1.0
100000008601794100,transit,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,169,349,0.087379,0.0294972067039106,0.9051375404530744
100000005523088100,terminal,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,185,399,0.0,0.0,1.0
100000008650785100,transit,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,294,499,0.61413,0.6141304347826086,1.0
100000004007116100,transit,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,280,507,0.128154,0.1501446291121243,0.853538101016864
100000002628576100,transit,peripheral,Строгое окно FIFO 1–2 дня и учёт полного покрытия окна,160,533,0.740505,0.0,0.1281759955597198
100000002193259100,transit,peripheral,Строгое окно FIFO 1–2 дня и учёт полного покрытия окна,156,553,0.833333,0.0,1.0
100000003977183100,transit,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,236,596,0.662359,0.0,1.0
100000003220685100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,262,656,0.0,,1.0
100000006232815100,transit,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,377,663,0.0,0.0,1.0
100000008517061100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,260,668,0.0,,1.0
100000002989353100,transit,peripheral,Строгое окно FIFO 1–2 дня и учёт полного покрытия окна,240,713,0.6,0.0,1.0
100000008443341100,transit,peripheral,Строгое окно FIFO 1–2 дня и учёт полного покрытия окна,239,730,0.710145,0.2028985507246377,1.0
100000002594214100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,317,749,0.0,,1.0
100000005616568100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,379,821,0.0,,1.0
100000007841978100,terminal,peripheral,Исходящие depth=4 неизвестны; модель больше не назначает terminal,390,835,0.0,,0.0
100000007511163100,transit,peripheral,Строгое окно FIFO 1–2 дня и учёт полного покрытия окна,204,841,0.769642,0.0,1.0
100000005668605100,terminal,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,436,849,0.0,0.0,1.0
100000003016438100,transit,peripheral,Строгое окно FIFO 1–2 дня и учёт полного покрытия окна,281,857,1.0,0.0,1.0
100000000933075100,transit,peripheral,Строгое окно FIFO 1–2 дня и учёт полного покрытия окна,208,863,1.0,0.0,1.0
100000008516839100,terminal,peripheral,Неполный вход seed: отменено назначение роли по недостаточным наблюдениям,438,868,0.0,0.0,1.0
