cluster_id,n_nodes,n_seed,sum_kzt_internal,top_gids,hypothesis,archetype,sum_kzt_in_from_other,sum_kzt_out_to_other,roles,n_return_cycles_nodes,truncated_share,stability,priority_sum
0,19,19,0.0,100000000456947100;100000005495722100;100000008669037100;100000008513251100;100000008205000100,"19 узлов без единого перевода ≥5 тыс ₸ внутри банка за период — это не группа, а отсутствие данных. Гипотеза: работают через наличные/другие банки; нужен запрос выписок.",нет данных,0.0,0.0,peripheral:19,0,0.0,1.0,0.177
1,343,1,33415554.38,100000008603629100;100000003115284100;100000008477350100;100000008165763100;100000004400305100,"343 узла, 1 seed, внутр. оборот 33.4 млн ₸. Признаки ядра сети: 5 координаторов (100000008603629100, 100000008477350100, 100000008165763100 и ещё 2) одновременно собирают и раздают средства, связаны с другими ключевыми узлами; 45 узлов в возвратных циклах. Гипотеза: центр управления потоками/обналичивания — проверять первым. Ключевой узел: 100000008603629100 (координатор, 19→61).",ядро,8741052.55,7181862.55,peripheral:235;terminal:57;consolidator:20;transit:16;distributor:10;coordinator:5,45,0.265,0.615,77.701
2,180,1,43571164.62,100000008547948100;100000008489922100;100000002718366100;100000008710791100;100000008547844100,"180 узлов, 1 seed, внутр. оборот 43.6 млн ₸. Признаки ядра сети: 1 координатор (100000008547948100) одновременно собирает и раздаёт средства, связан с другими ключевыми узлами; 12 узлов в возвратных циклах. Гипотеза: центр управления потоками/обналичивания — проверять первым. Ключевой узел: 100000008547948100 (координатор, 6→26).",ядро,2754009.0,1899295.0,terminal:84;peripheral:65;distributor:11;consolidator:10;transit:9;coordinator:1,12,0.339,0.888,53.087
3,165,8,23273170.56,100000004156082100;100000003016635100;100000005339662100;100000000706545100;100000005660203100,"165 узлов, 8 seed, внутр. оборот 23.3 млн ₸. Признаки консолидации: 100000004019124100 получает от 3 плательщиков (seed: 2), дальше уходит 0%. Гипотеза: точка сбора выручки от нижнего уровня. Ключевой узел: 100000004156082100 (распределитель, 5→26).",контур сбора,643710.0,1110502.0,peripheral:111;terminal:38;transit:10;distributor:3;consolidator:3,34,0.073,0.995,42.777
4,141,0,29576076.1,100000000331309100;100000001330685100;100000000332284100;100000008560717100;100000008413748100,"141 узел, 0 seed, внутр. оборот 29.6 млн ₸. Признаки ядра сети: 1 координатор (100000000331309100) одновременно собирает и раздаёт средства, связан с другими ключевыми узлами; 3 узла в возвратных циклах. Гипотеза: центр управления потоками/обналичивания — проверять первым. Ключевой узел: 100000000331309100 (координатор, 5→99).",ядро,2850493.75,6428058.3,peripheral:82;terminal:50;transit:4;consolidator:3;coordinator:1;distributor:1,3,0.326,0.842,34.112
5,115,5,17884662.0,100000003684369100;100000008748914100;100000001072022100;100000007777377100;100000003299365100,"115 узлов, 5 seed, внутр. оборот 17.9 млн ₸. Признаки ядра сети: 1 координатор (100000003684369100) одновременно собирает и раздаёт средства, связан с другими ключевыми узлами; 6 узлов в возвратных циклах. Гипотеза: центр управления потоками/обналичивания — проверять первым. Ключевой узел: 100000003684369100 (координатор, 24→62).",ядро,3359395.0,3268527.0,peripheral:69;terminal:40;transit:3;distributor:2;coordinator:1,6,0.0,0.776,32.617
6,75,2,13520812.61,100000002838861100;100000002894076100;100000001162560100;100000006972210100;100000003071930100,"75 узлов, 2 seed, внутр. оборот 13.5 млн ₸. Признаки консолидации: 100000006972210100 получает от 3 плательщиков (seed: 3), дальше уходит 0%. Гипотеза: точка сбора выручки от нижнего уровня. Ключевой узел: 100000002838861100 (консолидатор, 5→1).",контур сбора,1590826.0,1671916.4,peripheral:46;terminal:21;distributor:3;consolidator:3;transit:2,12,0.0,0.722,18.806
7,62,13,7568614.0,100000000343175100;100000005382566100;100000003635170100;100000004041163100;100000001463701100,"62 узла, 13 seed, внутр. оборот 7.6 млн ₸. Признаки ядра сети: 1 координатор (100000000343175100) одновременно собирает и раздаёт средства, связан с другими ключевыми узлами; 13 узлов в возвратных циклах. Гипотеза: центр управления потоками/обналичивания — проверять первым. Ключевой узел: 100000000343175100 (координатор, 8→31).",ядро,683487.0,1273980.0,peripheral:39;terminal:15;transit:6;coordinator:1;consolidator:1,13,0.065,0.768,18.521
8,66,3,7240795.0,100000004015047100;100000008748408100;100000005514161100;100000001616816100;100000006788200100,"66 узлов, 3 seed, внутр. оборот 7.2 млн ₸. Признаки консолидации: 100000004015047100 получает от 9 плательщиков (seed: 3), дальше уходит 8%. Гипотеза: точка сбора выручки от нижнего уровня. Ключевой узел: 100000004015047100 (консолидатор, 9→1).",контур сбора,1044561.8,705000.0,peripheral:46;terminal:11;consolidator:4;transit:4;distributor:1,15,0.045,0.577,16.245
9,66,0,11526279.53,100000001857829100;100000003880331100;100000006977207100;100000003035737100;100000007908818100,"66 узлов, 0 seed, внутр. оборот 11.5 млн ₸. Признаки ядра сети: 1 координатор (100000001857829100) одновременно собирает и раздаёт средства, связан с другими ключевыми узлами; 3 узла в возвратных циклах. Гипотеза: центр управления потоками/обналичивания — проверять первым. Ключевой узел: 100000001857829100 (координатор, 6→16).",ядро,3060129.0,2289518.0,peripheral:40;terminal:21;transit:2;distributor:2;coordinator:1,3,0.409,0.52,16.029
