rank,gid,role,priority_score,why,role_score,cluster_id,is_seed,depth,evidence
1,100000008603629100,coordinator,1.0,"Координатор (соответствие правилу 0.94): Хаб: 19 плательщиков → 61 получателей; вход 1.8 млн ₸, выход 5 млн ₸; связан с 19 ключевыми узлами; циклов со строгим порядком дат: 52. Главные факторы: роль, оборот, паттерны. Признаки: достижим из 4 seed (≤4 рёбер); модель смешивания ≈33 тыс ₸; 52 циклов с возрастающими датами (не трассировка средств); 4 плательщиков в один день (2026-07-10); 92% пригодного входа совместимо с лагом 1–2 дн.; 16 повторяющихся маршрутов A→узел→B; плательщиков — топ-1% своего колена; посредник: betweenness 0.0058. Проверить: источник средств, начальный остаток и полную выписку, связи с другими хабами.",0.936,1,False,2,"Хаб: 19 плательщиков → 61 получателей; вход 1.8 млн ₸, выход 5 млн ₸; связан с 19 ключевыми узлами; циклов со строгим порядком дат: 52"
2,100000000331309100,coordinator,0.9879,"Координатор (соответствие правилу 0.83): Хаб: 5 плательщиков → 99 получателей; вход 985 тыс ₸, выход 23 млн ₸; связан с 11 ключевыми узлами. Главные факторы: роль, оборот, паттерны. Признаки: достижим из 4 seed (≤4 рёбер); модель смешивания ≈27 тыс ₸; 3 плательщиков в один день (2026-07-14); 100% пригодного входа совместимо с лагом 1–2 дн.; выход ₸ — топ-1% своего колена; посредник: betweenness 0.0046. Проверить: источник средств, начальный остаток и полную выписку, связи с другими хабами.",0.833,4,False,2,"Хаб: 5 плательщиков → 99 получателей; вход 985 тыс ₸, выход 23 млн ₸; связан с 11 ключевыми узлами"
3,100000000437046100,coordinator,0.9798,"Координатор (соответствие правилу 0.83): Хаб: 9 плательщиков → 42 получателей; вход 1.1 млн ₸, выход 7.6 млн ₸; связан с 15 ключевыми узлами; циклов со строгим порядком дат: 23. Главные факторы: роль, оборот, паттерны. Признаки: достижим из 4 seed (≤4 рёбер); модель смешивания ≈37 тыс ₸; 23 циклов с возрастающими датами (не трассировка средств); 3 плательщиков в один день (2026-07-16); 86% пригодного входа совместимо с лагом 1–2 дн.; 15 повторяющихся маршрутов A→узел→B; выход ₸ — топ-1% своего колена; посредник: betweenness 0.0022. Проверить: источник средств, начальный остаток и полную выписку, связи с другими хабами.",0.831,10,False,2,"Хаб: 9 плательщиков → 42 получателей; вход 1.1 млн ₸, выход 7.6 млн ₸; связан с 15 ключевыми узлами; циклов со строгим порядком дат: 23"
4,100000003115284100,consolidator,0.952,"Консолидатор (соответствие правилу 0.81): Сбор от 8 плательщиков (seed: 2): 2.2 млн ₸; дальше ушло 24% (2 получ.); достижим из 9 seed (≤4 рёбер). Главные факторы: роль, связь с фигурантами, положение в сети. Признаки: достижим из 9 seed (≤4 рёбер); модель смешивания ≈850 тыс ₸; 1 циклов с возрастающими датами (не трассировка средств); 7 плательщиков в один день (2026-07-19); вход ₸ — топ-1% своего колена. Проверить: полную выписку и возможные снятие наличных, межбанк, покупка активов.",0.813,1,False,1,Сбор от 8 плательщиков (seed: 2): 2.2 млн ₸; дальше ушло 24% (2 получ.); достижим из 9 seed (≤4 рёбер)
5,100000003684369100,coordinator,0.9493,"Координатор (соответствие правилу 0.96): Хаб: 24 плательщиков (seed: 1) → 62 получателей; вход 3.8 млн ₸, выход 8.6 млн ₸; связан с 16 ключевыми узлами. Главные факторы: роль, оборот, паттерны. Признаки: достижим из 6 seed (≤4 рёбер); модель смешивания ≈500 тыс ₸; 6 плательщиков в один день (2026-07-17); 90% пригодного входа совместимо с лагом 1–2 дн.; 69 повторяющихся маршрутов A→узел→B; плательщиков — топ-1% своего колена; посредник: betweenness 0.0023. Проверить: источник средств, начальный остаток и полную выписку, связи с другими хабами. Уже в деле (seed).",0.961,5,True,0,"Хаб: 24 плательщиков (seed: 1) → 62 получателей; вход 3.8 млн ₸, выход 8.6 млн ₸; связан с 16 ключевыми узлами"
6,100000008477350100,coordinator,0.8944,"Координатор (соответствие правилу 0.85): Хаб: 11 плательщиков → 39 получателей; вход 610 тыс ₸, выход 3.4 млн ₸; связан с 14 ключевыми узлами; циклов со строгим порядком дат: 20. Главные факторы: роль, оборот, положение в сети. Признаки: достижим из 3 seed (≤4 рёбер); модель смешивания ≈41 тыс ₸; 20 циклов с возрастающими датами (не трассировка средств); 89% пригодного входа совместимо с лагом 1–2 дн.; плательщиков — топ-1% своего колена; посредник: betweenness 0.0025. Проверить: источник средств, начальный остаток и полную выписку, связи с другими хабами.",0.847,1,False,2,"Хаб: 11 плательщиков → 39 получателей; вход 610 тыс ₸, выход 3.4 млн ₸; связан с 14 ключевыми узлами; циклов со строгим порядком дат: 20"
7,100000002224132100,consolidator,0.8897,"Консолидатор (соответствие правилу 0.64): Сбор от 5 плательщиков: 4 млн ₸; отдал 12.1 млн ₸ 4 получ. — больше, чем получил в выборке. Главные факторы: оборот, роль, паттерны. Признаки: достижим из 2 seed (≤4 рёбер); модель смешивания ≈181 тыс ₸; 5 циклов с возрастающими датами (не трассировка средств); 1 повторяющихся маршрутов A→узел→B; вход ₸ — топ-1% своего колена. Проверить: полную выписку и возможные снятие наличных, межбанк, покупка активов.",0.637,21,False,2,"Сбор от 5 плательщиков: 4 млн ₸; отдал 12.1 млн ₸ 4 получ. — больше, чем получил в выборке"
8,100000004299488100,consolidator,0.8817,"Консолидатор (соответствие правилу 0.73): Сбор от 6 плательщиков (seed: 1): 1.7 млн ₸; дальше ушло 20% (2 получ.); достижим из 3 seed (≤4 рёбер). Главные факторы: роль, паттерны, положение в сети. Признаки: достижим из 3 seed (≤4 рёбер); модель смешивания ≈417 тыс ₸; 1 циклов с возрастающими датами (не трассировка средств); 3 плательщиков в один день (2026-07-08); 3 повторяющихся маршрутов A→узел→B; вход ₸ — топ-1% своего колена. Проверить: полную выписку и возможные снятие наличных, межбанк, покупка активов.",0.727,1,False,1,Сбор от 6 плательщиков (seed: 1): 1.7 млн ₸; дальше ушло 20% (2 получ.); достижим из 3 seed (≤4 рёбер)
9,100000007055802100,consolidator,0.8741,"Консолидатор (соответствие правилу 0.74): Сбор от 6 плательщиков (seed: 1): 2 млн ₸; дальше ушло 30% (1 получ.); достижим из 3 seed (≤4 рёбер). Главные факторы: роль, паттерны, оборот. Признаки: достижим из 3 seed (≤4 рёбер); модель смешивания ≈255 тыс ₸; 1 циклов с возрастающими датами (не трассировка средств); 4 плательщиков в один день (2026-07-18); 3 повторяющихся маршрутов A→узел→B; вход ₸ — топ-1% своего колена. Проверить: полную выписку и возможные снятие наличных, межбанк, покупка активов.",0.74,1,False,1,Сбор от 6 плательщиков (seed: 1): 2 млн ₸; дальше ушло 30% (1 получ.); достижим из 3 seed (≤4 рёбер)
10,100000004015047100,consolidator,0.8705,"Консолидатор (соответствие правилу 0.88): Сбор от 9 плательщиков (seed: 3): 919 тыс ₸; дальше ушло 8% (1 получ.); достижим из 8 seed (≤4 рёбер). Главные факторы: роль, связь с фигурантами, положение в сети. Признаки: достижим из 8 seed (≤4 рёбер); модель смешивания ≈585 тыс ₸; 1 циклов с возрастающими датами (не трассировка средств); плательщиков — топ-1% своего колена. Проверить: полную выписку и возможные снятие наличных, межбанк, покупка активов.",0.882,8,False,1,Сбор от 9 плательщиков (seed: 3): 919 тыс ₸; дальше ушло 8% (1 получ.); достижим из 8 seed (≤4 рёбер)
11,100000008547948100,coordinator,0.8686,"Координатор (соответствие правилу 0.74): Хаб: 6 плательщиков → 26 получателей; вход 213 тыс ₸, выход 5.2 млн ₸; связан с 9 ключевыми узлами; циклов со строгим порядком дат: 3. Главные факторы: роль, оборот, паттерны. Признаки: достижим из 3 seed (≤4 рёбер); модель смешивания ≈6 тыс ₸; 3 циклов с возрастающими датами (не трассировка средств); 4 плательщиков в один день (2026-07-16); 100% пригодного входа совместимо с лагом 1–2 дн.; посредник: betweenness 0.0011. Проверить: источник средств, начальный остаток и полную выписку, связи с другими хабами.",0.744,2,False,2,"Хаб: 6 плательщиков → 26 получателей; вход 213 тыс ₸, выход 5.2 млн ₸; связан с 9 ключевыми узлами; циклов со строгим порядком дат: 3"
